road_id,vehicle_count,avg_speed,weather,record_date,record_time,day_of_week,congestion_level
1,230,23.9,clear,2026-05-16,20:00:00,Saturday,high
1,245,17.8,storm,2026-05-16,04:00:00,Saturday,high
1,287,32.0,clear,2026-05-16,18:45:00,Saturday,medium
2,269,43.5,fog,2026-05-16,16:00:00,Saturday,medium
2,174,33.1,clear,2026-05-16,17:45:00,Saturday,medium
2,192,31.8,storm,2026-05-16,00:15:00,Saturday,medium
3,202,43.0,clear,2026-05-16,06:30:00,Saturday,medium
3,221,19.4,clear,2026-05-16,11:30:00,Saturday,high
3,204,43.3,fog,2026-05-16,12:00:00,Saturday,medium
4,473,26.1,storm,2026-05-16,11:15:00,Saturday,high
4,219,31.3,clear,2026-05-16,09:00:00,Saturday,medium
4,197,35.4,clear,2026-05-16,14:30:00,Saturday,medium
5,130,28.9,fog,2026-05-16,08:00:00,Saturday,medium
5,67,46.4,rain,2026-05-16,07:15:00,Saturday,low
5,243,32.0,storm,2026-05-16,20:15:00,Saturday,medium
6,200,28.6,clear,2026-05-16,01:15:00,Saturday,medium
6,217,32.7,fog,2026-05-16,02:15:00,Saturday,medium
6,444,15.7,rain,2026-05-16,20:45:00,Saturday,high
7,181,55.4,clear,2026-05-16,04:30:00,Saturday,low
7,145,45.0,fog,2026-05-16,08:45:00,Saturday,medium
7,184,16.2,clear,2026-05-16,04:45:00,Saturday,high
8,225,30.0,storm,2026-05-16,04:15:00,Saturday,medium
8,233,42.5,fog,2026-05-16,12:45:00,Saturday,medium
8,356,19.1,storm,2026-05-16,00:00:00,Saturday,high
9,221,36.0,clear,2026-05-16,20:30:00,Saturday,medium
9,185,25.8,fog,2026-05-16,00:30:00,Saturday,medium
9,196,28.3,storm,2026-05-16,03:30:00,Saturday,medium
10,402,24.8,fog,2026-05-16,11:15:00,Saturday,high
10,443,31.0,rain,2026-05-16,00:30:00,Saturday,high
10,184,55.5,clear,2026-05-16,09:15:00,Saturday,low
1,220,28.9,storm,2026-05-17,02:00:00,Sunday,medium
1,132,11.9,clear,2026-05-17,17:15:00,Sunday,high
1,223,31.0,fog,2026-05-17,05:30:00,Sunday,medium
2,148,54.5,storm,2026-05-17,06:15:00,Sunday,low
2,424,17.7,rain,2026-05-17,20:30:00,Sunday,high
2,137,53.6,clear,2026-05-17,07:15:00,Sunday,low
3,256,47.3,clear,2026-05-17,07:15:00,Sunday,medium
3,194,36.4,clear,2026-05-17,07:00:00,Sunday,medium
3,147,29.5,storm,2026-05-17,07:30:00,Sunday,medium
4,203,18.7,clear,2026-05-17,23:45:00,Sunday,high
4,149,30.6,clear,2026-05-17,06:00:00,Sunday,medium
4,477,25.2,storm,2026-05-17,13:45:00,Sunday,high
5,175,35.6,clear,2026-05-17,20:00:00,Sunday,medium
5,204,52.2,clear,2026-05-17,03:15:00,Sunday,medium
5,79,35.1,clear,2026-05-17,13:15:00,Sunday,medium
6,251,50.1,fog,2026-05-17,02:45:00,Sunday,medium
6,369,22.8,clear,2026-05-17,17:00:00,Sunday,high
6,85,30.6,rain,2026-05-17,05:45:00,Sunday,medium
7,335,28.7,rain,2026-05-17,01:15:00,Sunday,medium
7,269,11.9,rain,2026-05-17,14:30:00,Sunday,high
7,254,36.8,clear,2026-05-17,17:45:00,Sunday,medium
8,241,31.1,storm,2026-05-17,01:00:00,Sunday,medium
8,264,29.8,clear,2026-05-17,15:15:00,Sunday,medium
8,288,49.9,fog,2026-05-17,05:00:00,Sunday,medium
9,236,43.2,fog,2026-05-17,12:00:00,Sunday,medium
